餐廳名稱,地址,店長國籍,行政區,經度,緯度,縣市
密城雲泰料理,新北市新店區中華路65號,泰國,新店區,121.539643,24.9681197,新北
泰吉城,新北市新店區北新路三段28號,泰/緬,新店區,121.5425306,24.9795648,新北
宮宴小館,新北市新店區北新路三段65巷8號,泰國,新店區,121.5410813,24.9811495,新北
雲膳坊雲泰風味精緻料理,新北市新店區寶中路137號,泰國,新店區,121.5499519,24.9792049,新北
雲之泰,新北市土城區中央路三段92號,泰國,土城區,121.4359279,24.9669403,新北
泰味屋泰式料理,新北市三芝區長安街51號,泰國,三芝區,121.5012263,25.2564325,新北
滇城雲南美食,新北市中和區華新街78號,緬甸,中和區,121.5082805,24.9835606,新北
瑞雲南洋口味,新北市中和區華新街68號,緬甸,中和區,121.5080855,24.9838204,新北
萬得富爸爸肉骨茶,新北市板橋區莒光路18-1號,馬來西亞,板橋區,121.4698697,25.0246586,新北
瑪莎拉印度餐廳,新北市板橋區文化路二段476號,印度,板橋區,121.4751804,25.0328068,新北
旺旺來亞洲咖哩屋,新北市中和區華新街23號,印度,中和區,121.5076506,24.9851169,新北
金鑽亞洲美食,新北市中和區興南路一段183號,印度,中和區,121.5082703,24.986596,新北
達卡印度廚房,新北市林口區文化三路一段171號,印度,林口區,121.3617764,25.0694403,新北
馬友友印度廚房 (海灘餐酒館),新北市三芝區北勢子12-8號,印度,三芝區,121.4745885,25.2551363,新北
萌太利印尼料理、印尼食品,新北市永和區得和路32號,印尼,永和區,121.5156296,25.0001741,新北
